T      Bact  Phage     Lys   VMR  P_spec B_spec 
   0  897672 10123078  203005  9.2   98   75 
   1  897672 10186932  203005  9.3   98   75 
   2  897672 10189084  203005  9.3   98   75 
   3  897672 10189157  203005  9.3   98   75 
   4  897672 10189159  203005  9.3   98   75 
   5  897672 10189159  203005  9.3   98   75 
   6  897672 10189159  203005  9.3   98   75 
   7  897672 10189159  203005  9.3   98   75 
   8  897672 10189159  203005  9.3   98   75 
   9  897672 10189159  203005  9.3   98   75 
  10  897672 10189159  203005  9.3   98   75 
  11  897672 10189159  203005  9.3   98   75 
  12  897672 10189159  203005  9.3   98   75 
  13  897672 10189159  203005  9.3   98   75 
  14  897672 10189159  203005  9.3   98   75 
  15  897672 10189159  203005  9.3   98   75 
  16  897672 10189159  203005  9.3   98   75 
  17  897672 10189159  203005  9.3   98   75 
  18  897672 10189159  203005  9.3   98   75 
  19  897672 10189159  203005  9.3   98   75 
  20  897672 10189159  203005  9.3   98   75 
  21  897672 10189159  203005  9.3   98   75 
  22  897672 10189159  203005  9.3   98   75 
  23  897672 10189159  203005  9.3   98   75 
  24  897672 10189159  203005  9.3   98   75 
  25  897672 10189159  203005  9.3   98   75 
  26  897672 10189159  203005  9.3   98   75 
  27  897672 10189159  203005  9.3   98   75 
  28  897672 10189159  203005  9.3   98   75 
  29  897672 10189159  203005  9.3   98   75 
  30  897672 10189159  203005  9.3   98   75 
  31  897672 10189159  203005  9.3   98   75 
  32  897672 10189159  203005  9.3   98   75 
  33  897672 10189159  203005  9.3   98   75 
  34  897672 10189159  203005  9.3   98   75 
  35  897672 10189159  203005  9.3   98   75 
  36  897672 10189159  203005  9.3   98   75 
  37  897672 10189159  203005  9.3   98   75 
  38  897672 10189159  203005  9.3   98   75 
  39  897672 10189159  203005  9.3   98   75 
  40  897672 10189159  203005  9.3   98   75 
  41  897672 10189159  203005  9.3   98   75 
  42  897672 10189159  203005  9.3   98   75 
  43  897672 10189159  203005  9.3   98   75 
  44  897672 10189159  203005  9.3   98   75 
  45  897672 10189159  203005  9.3   98   75 
  46  897672 10189159  203005  9.3   98   75 
  47  897672 10189159  203005  9.3   98   75 
  48  897672 10189159  203005  9.3   98   75 
  49  897672 10189159  203005  9.3   98   75 
  50  897672 10189159  203005  9.3   98   75 
  51  897672 10189159  203005  9.3   98   75 
  52  897672 10189159  203005  9.3   98   75 
  53  897672 10189159  203005  9.3   98   75 
  54  897672 10189159  203005  9.3   98   75 
  55  897672 10189159  203005  9.3   98   75 
  56  897672 10189159  203005  9.3   98   75 
  57  897672 10189159  203005  9.3   98   75 
  58  897672 10189159  203005  9.3   98   75 
  59  897672 10189159  203005  9.3   98   75 
  60  897672 10189159  203005  9.3   98   75 
  61  897672 10189159  203005  9.3   98   75 
  62  897672 10189159  203005  9.3   98   75 
  63  897672 10189159  203005  9.3   98   75 
  64  897672 10189159  203005  9.3   98   75 
  65  897672 10189159  203005  9.3   98   75 
  66  897672 10189159  203005  9.3   98   75 
  67  897672 10189159  203005  9.3   98   75 
  68  897672 10189159  203005  9.3   98   75 
  69  897672 10189159  203005  9.3   98   75 
  70  897672 10189159  203005  9.3   98   75 
  71  897672 10189159  203005  9.3   98   75 
  72  897672 10189159  203005  9.3   98   75 
  73  897672 10189159  203005  9.3   98   75 
  74  897672 10189159  203005  9.3   98   75 
  75  897672 10189159  203005  9.3   98   75 
  76  897672 10189159  203005  9.3   98   75 
  77  897672 10189159  203005  9.3   98   75 
  78  897672 10189159  203005  9.3   98   75 
  79  897672 10189159  203005  9.3   98   75 
  80  897672 10189159  203005  9.3   98   75 
  81  897672 10189159  203005  9.3   98   75 
  82  897672 10189159  203005  9.3   98   75 
  83  897672 10189159  203005  9.3   98   75 
  84  897672 10189159  203005  9.3   98   75 
  85  897672 10189159  203005  9.3   98   75 
  86  897672 10189159  203005  9.3   98   75 
  87  897672 10189159  203005  9.3   98   75 
  88  897672 10189159  203005  9.3   98   75 
  89  897672 10189159  203005  9.3   98   75 
  90  897672 10189159  203005  9.3   98   75 
  91  897672 10189159  203005  9.3   98   75 
  92  897672 10189159  203005  9.3   98   75 
  93  897672 10189159  203005  9.3   98   75 
  94  897672 10189159  203005  9.3   98   75 
  95  897672 10189159  203005  9.3   98   75 
  96  897672 10189159  203005  9.3   98   75 
  97  897672 10189159  203005  9.3   98   75 
  98  897672 10189159  203005  9.3   98   75 
  99  897672 10189159  203005  9.3   98   75 
 100  897672 10189159  203005  9.3   98   75 
 101  897672 10189159  203005  9.3   98   75 
 102  897672 10189159  203005  9.3   98   75 
 103  897672 10189159  203005  9.3   98   75 
 104  897672 10189159  203005  9.3   98   75 
 105  897672 10189159  203005  9.3   98   75 
 106  897672 10189159  203005  9.3   98   75 
 107  897672 10189159  203005  9.3   98   75 
 108  897672 10189159  203005  9.3   98   75 
 109  897672 10189159  203005  9.3   98   75 
 110  897672 10189159  203005  9.3   98   75 
 111  897672 10189159  203005  9.3   98   75 
 112  897672 10189159  203005  9.3   98   75 
 113  897672 10189159  203005  9.3   98   75 
 114  897672 10189159  203005  9.3   98   75 
 115  897672 10189159  203005  9.3   98   75 
 116  897672 10189159  203005  9.3   98   75 
 117  897672 10189159  203005  9.3   98   75 
 118  897672 10189159  203005  9.3   98   75 
 119  897672 10189159  203005  9.3   98   75 
 120  897672 10189159  203005  9.3   98   75 
 121  897672 10189159  203005  9.3   98   75 
 122  897672 10189159  203005  9.3   98   75 
 123  897672 10189159  203005  9.3   98   75 
 124  897672 10189159  203005  9.3   98   75 
 125  897672 10189159  203005  9.3   98   75 
 126  897672 10189159  203005  9.3   98   75 
 127  897672 10189159  203005  9.3   98   75 
 128  897672 10189159  203005  9.3   98   75 
 129  897672 10189159  203005  9.3   98   75 
 130  897672 10189159  203005  9.3   98   75 
 131  897672 10189159  203005  9.3   98   75 
 132  897672 10189159  203005  9.3   98   75 
 133  897672 10189159  203005  9.3   98   75 
 134  897672 10189159  203005  9.3   98   75 
 135  897672 10189159  203005  9.3   98   75 
 136  897672 10189159  203005  9.3   98   75 
 137  897672 10189159  203005  9.3   98   75 
 138  897672 10189159  203005  9.3   98   75 
 139  897672 10189159  203005  9.3   98   75 
 140  897672 10189159  203005  9.3   98   75 
 141  897672 10189159  203005  9.3   98   75 
 142  897672 10189159  203005  9.3   98   75 
 143  897672 10189159  203005  9.3   98   75 
 144  897672 10189159  203005  9.3   98   75 
 145  897672 10189159  203005  9.3   98   75 
 146  897672 10189159  203005  9.3   98   75 
 147  897672 10189159  203005  9.3   98   75 
 148  897672 10189159  203005  9.3   98   75 
 149  897672 10189159  203005  9.3   98   75 
 150  897672 10189159  203005  9.3   98   75 
