T      Bact  Phage     Lys   VMR  P_spec B_spec 
   0  830841 10191752  347813  8.6   98   70 
   1  830841 10191752  347813  8.6   98   70 
   2  830841 10191752  347813  8.6   98   70 
   3  830841 10191752  347813  8.6   98   70 
   4  830841 10191752  347813  8.6   98   70 
   5  830841 10191752  347813  8.6   98   70 
   6  830841 10191752  347813  8.6   98   70 
   7  830841 10191752  347813  8.6   98   70 
   8  830841 10191752  347813  8.6   98   70 
   9  830841 10191752  347813  8.6   98   70 
  10  830841 10191752  347813  8.6   98   70 
  11  830841 10191752  347813  8.6   98   70 
  12  830841 10191752  347813  8.6   98   70 
  13  830841 10191752  347813  8.6   98   70 
  14  830841 10191752  347813  8.6   98   70 
  15  830841 10191752  347813  8.6   98   70 
  16  830841 10191752  347813  8.6   98   70 
  17  830841 10191752  347813  8.6   98   70 
  18  830841 10191752  347813  8.6   98   70 
  19  830841 10191752  347813  8.6   98   70 
  20  830841 10191752  347813  8.6   98   70 
  21  830841 10191752  347813  8.6   98   70 
  22  830841 10191752  347813  8.6   98   70 
  23  830841 10191752  347813  8.6   98   70 
  24  830841 10191752  347813  8.6   98   70 
  25  830841 10191752  347813  8.6   98   70 
  26  830841 10191752  347813  8.6   98   70 
  27  830841 10191752  347813  8.6   98   70 
  28  830841 10191752  347813  8.6   98   70 
  29  830841 10191752  347813  8.6   98   70 
  30  830841 10191752  347813  8.6   98   70 
  31  830841 10191752  347813  8.6   98   70 
  32  830841 10191752  347813  8.6   98   70 
  33  830841 10191752  347813  8.6   98   70 
  34  830841 10191752  347813  8.6   98   70 
  35  830841 10191752  347813  8.6   98   70 
  36  830841 10191752  347813  8.6   98   70 
  37  830841 10191752  347813  8.6   98   70 
  38  830841 10191752  347813  8.6   98   70 
  39  830841 10191752  347813  8.6   98   70 
  40  830841 10191752  347813  8.6   98   70 
  41  830841 10191752  347813  8.6   98   70 
  42  830841 10191752  347813  8.6   98   70 
  43  830841 10191752  347813  8.6   98   70 
  44  830841 10191752  347813  8.6   98   70 
  45  830841 10191752  347813  8.6   98   70 
  46  830841 10191752  347813  8.6   98   70 
  47  830841 10191752  347813  8.6   98   70 
  48  830841 10191752  347813  8.6   98   70 
  49  830841 10191752  347813  8.6   98   70 
  50  830841 10191752  347813  8.6   98   70 
  51  830841 10191752  347813  8.6   98   70 
  52  830841 10191752  347813  8.6   98   70 
  53  830841 10191752  347813  8.6   98   70 
  54  830841 10191752  347813  8.6   98   70 
  55  830841 10191752  347813  8.6   98   70 
